filename,item_id,defect_label,view,background,lighting,source,license,mask_status,notes
normal01_normal_front_01.jpg,normal01,normal,front,background_a,light_a,real_capture,,pending,
normal01_normal_left_01.jpg,normal01,normal,left,background_a,light_a,real_capture,,pending,
normal01_normal_right_01.jpg,normal01,normal,right,background_a,light_b,real_capture,,pending,
normal01_normal_top_01.jpg,normal01,normal,top,background_a,light_b,real_capture,,pending,
tear01_tear_front_01.jpg,tear01,tear,front,background_a,light_a,real_capture,,pending,
tear01_tear_left_01.jpg,tear01,tear,left,background_a,light_a,real_capture,,pending,
tear01_tear_right_01.jpg,tear01,tear,right,background_a,light_b,real_capture,,pending,
tear01_tear_top_01.jpg,tear01,tear,top,background_a,light_b,real_capture,,pending,
tear02_tear_front_01.jpg,tear02,tear,front,background_b,light_b,real_capture,,pending,
tear02_tear_left_01.jpg,tear02,tear,left,background_b,light_b,real_capture,,pending,
tear02_tear_right_01.jpg,tear02,tear,right,background_b,light_a,real_capture,,pending,
tear02_tear_top_01.jpg,tear02,tear,top,background_b,light_a,real_capture,,pending,
crushed01_crushed_corner_front_01.jpg,crushed01,crushed_corner,front,background_a,light_b,real_capture,,pending,
crushed01_crushed_corner_left_01.jpg,crushed01,crushed_corner,left,background_a,light_b,real_capture,,pending,
crushed01_crushed_corner_right_01.jpg,crushed01,crushed_corner,right,background_a,light_a,real_capture,,pending,
crushed01_crushed_corner_top_01.jpg,crushed01,crushed_corner,top,background_a,light_a,real_capture,,pending,
crushed02_crushed_corner_front_01.jpg,crushed02,crushed_corner,front,background_b,light_a,real_capture,,pending,
crushed02_crushed_corner_left_01.jpg,crushed02,crushed_corner,left,background_b,light_a,real_capture,,pending,
crushed02_crushed_corner_right_01.jpg,crushed02,crushed_corner,right,background_b,light_b,real_capture,,pending,
crushed02_crushed_corner_top_01.jpg,crushed02,crushed_corner,top,background_b,light_b,real_capture,,pending,
dent01_dent_or_crush_front_01.jpg,dent01,dent_or_crush,front,background_a,light_a,real_capture,,pending,
dent01_dent_or_crush_left_01.jpg,dent01,dent_or_crush,left,background_a,light_a,real_capture,,pending,
dent01_dent_or_crush_right_01.jpg,dent01,dent_or_crush,right,background_a,light_b,real_capture,,pending,
dent01_dent_or_crush_top_01.jpg,dent01,dent_or_crush,top,background_a,light_b,real_capture,,pending,
dent02_dent_or_crush_front_01.jpg,dent02,dent_or_crush,front,background_b,light_b,real_capture,,pending,
dent02_dent_or_crush_left_01.jpg,dent02,dent_or_crush,left,background_b,light_b,real_capture,,pending,
dent02_dent_or_crush_right_01.jpg,dent02,dent_or_crush,right,background_b,light_a,real_capture,,pending,
dent02_dent_or_crush_top_01.jpg,dent02,dent_or_crush,top,background_b,light_a,real_capture,,pending,
